id,composition,Eg,num_atom,# of elements
841515,MgScF3,6.126347541809082,5.0,3
845550,K2SiF3,6.238572120666504,6.0,3
876041,AlSrF3,6.5492591857910165,5.0,3
914002,MgRb2F3,6.092471122741699,6.0,3
934622,RbDyF5,6.084771156311035,7.0,3
945625,MgPH4,7.0854244232177725,6.0,3
953618,MgDyF3,6.510796546936035,5.0,3
974584,CaDyF3,6.493556022644043,5.0,3
975720,MgSiF3,7.2825870513916025,5.0,3
982346,PF2,6.254757881164551,3.0,2
1007301,LaNdF4,6.21964168548584,6.0,3
1008441,DyFH2,6.061103820800781,4.0,3
1012347,SrP2F3,6.153412818908691,6.0,3
1021930,MgYbF3,6.147926330566406,5.0,3
1025190,P2F3C,6.230440139770508,6.0,3
1036577,KNdF5,6.064135551452638,7.0,3
1048475,Na2AlF3,6.290249824523926,6.0,3
1049652,KHoF3,6.5176658630371085,5.0,3
1052432,AlSrF4,6.847537040710449,6.0,3
1059814,Li2ErH4,6.138968467712402,7.0,3
1127414,ZrNdF5,6.070301055908202,7.0,3
1129970,MgAlH4,6.38442325592041,6.0,3
1135470,NaF2B,6.28806209564209,4.0,3
1157744,HoPH4,6.869095802307129,6.0,3
1163725,LiNdF3,6.882325172424316,5.0,3
1169911,NaHoF3,6.466035842895508,5.0,3
1177787,Ho2F3C,6.146934509277344,6.0,3
1178817,SiF2,6.466392517089844,3.0,2
1182210,AlBaF5,6.425755500793457,7.0,3
